@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'If lab results are received through an electronic interface, then the solution should receive and store the data elements into the patient record.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'If lab results are received through an electronic interface, then the solution should display them upon request.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and display scanned documents as images.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to store imaged documents or reference the imaged documents via links to imaging solutions.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and present text-based externally-sourced documents and reports.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and display clinical result images (such as radiologic images) received from an external source.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and display other forms of clinical results (such as wave files of EKG tracings) received from an external source.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and present medication details from an external source.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and present structured text-based reports received from an external source.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to receive, store and present standards-based structured, codified data received from an external source.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Capture Patient-Originated Data',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should capture and explicitly label patient-originated data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'If the solution provides the ability for direct entry by the patient, then the solution should explicitly label the data as patient entered.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should capture and label the source of clinical data provided on behalf of the patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should present patient-originated data for use by care providers.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability for a provider to verify the accuracy of patient-originated data for inclusion in the patient record.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to view or comment, but not alter, patient-originated data.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Capture Patient Health Data Derived from Administrative and Financial Data and Documentation',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture and label patient health data derived from administrative or financial data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture and link data about the source of patient health data derived from administrative and financial data with that patient data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to present labeled patient health information derived from administrative or financial data and the source of that data for use by authorized users.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to view or comment on patient health information derived from administrative or financial data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to request correction of the administrative or financial data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Produce a Summary Record of Care',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should present summarized views and reports of the patient’s comprehensive EMR.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should include at least the following in the summary: problem list, medication list, allergy and adverse reaction list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function S.3.3.6 (Health Service Reports at the Conclusion of an Episode of Care).',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.1.4 (Patient Access Management).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Present Ad Hoc Views of the Health Record',1,0,0,0,0,0,0,0,0,0,0,0,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to create views that prohibit patients from accessing certain information according to organizational policy, scope of practice, and jurisdictional law.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,cchcs_rfp
'The solution should provide the ability to create customized views of summarized information based on sort and filter controls for date or date range, problem, or other clinical parameters.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to access summarized information through customized views based on prioritization of chronology, problem, or other pertinent clinical parameters.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function IN.1.4 (Patient Access Management).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Patient History',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture, update and present current patient history including pertinent positive and negative elements.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture and present previous external patient histories',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the relationship between patient and others.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should capture the complaint, presenting problem or other reason(s) for the visit or encounter.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should capture the reason for visit or encounter from the patient\'s perspective.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function IN.1.4 (Patient Access Management).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Preferences, Directives, Consents, and Authorizations',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.1.4 (Patient Access Management).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Patient and Family Preferences',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture, present, maintain and make available for clinical decisions patient preferences such as language, religion, spiritual practices and culture.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture, present, maintain and make available for clinical decisions family preferences such as language, religion, spiritual practices and culture.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.1.4 (Support for Patient and Family Preferences), and incorporate patient and family preferences into decision support solutions.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Manage Patient Advance Directives',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to indicate that advance directives exist for the patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to indicate the type of advance directives completed for the patient such as living will, durable power of attorney, preferred interventions for known conditions, or the existence of a \"Do Not Resuscitate order”.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture, present, maintain and make available for clinical decisions patient advance directives documents and “Do Not Resuscitate” orders.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.1.1.3.1 (Capture Data and Documentation from External Clinical Sources) and capture scanned patient advance directive documents and “Do Not Resuscitate” orders.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to indicate when advanced directives were last reviewed.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to indicate the name and relationship of the party completing the advance directive for the patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should time and date stamp advance directives.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to document the location and or source of any legal documentation regarding advance directives.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,cchcs_rfp
'The solution should conform to function DC.2.1.4 (Support for Patient and Family Preferences).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Consents & Authorizations',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to indicate that a patient has completed applicable consents and authorizations.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to indicate that a patient has withdrawn applicable consents and authorizations.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.1.1.3.1 (Capture Data and Documentation from External Clinical Sources) and capture scanned paper consent and authorization documents.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to view and complete consent and authorization forms on-line.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to generate printable consent and authorization forms.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should display the authorizations associated with a specific clinical activity, such as treatment or surgery, along with that event in the patient\'s electronic chart.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to display consents and authorizations chronologically.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to document an assent for patients legally unable to consent.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to document the source of each consent, such as the patient or the patient’s personal representative if the patient is legally unable to provide it.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to document the patient’s personal representative’s level of authority to make decisions on behalf of the patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Summary Lists',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.1.4 (Patient Access Management).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Allergy, Intolerance, and Adverse Reaction List',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture true allergy, intolerance, and adverse reaction to drug, dietary or environmental triggers as unique, discrete entries.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the reason for entry of the allergy, intolerance or adverse reaction.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the reaction type.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the severity of a reaction.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture a report of No Known Allergies (NKA) for the patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture a report of No Known Drug Allergies (NKDA) for the patient.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the source of allergy, intolerance, and adverse reaction information.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to deactivate an item on the list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the reason for deactivation of an item on the list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should present allergies, intolerances and adverse reactions that have been deactivated.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to display user defined sort order of list.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'The solution should provide the ability to indicate that the list of medications and other agents has been reviewed.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture and display the date on which allergy information was entered.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture and display the approximate date of the allergy occurrence.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Manage Medication List',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture patient specific medication lists.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should display and report patient-specific medication lists.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the details of the medication such as ordering date, dose, route, and SIG (description of the prescription, such as the quantity) when known.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture other dates associated with medications such as start and end dates.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture medications not reported on existing medication lists or medication histories.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture nonprescription medications including over the counter and complementary medications such as vitamins, herbs and supplements.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should present the current medication lists associated with a patient.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should present the medication history associated with a patient.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should present the medication, prescriber, and medication ordering dates when known.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to mark a medication as erroneously captured and excluded from the presentation of current medications.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to print a current medication list for patient use.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture information regarding the filling of prescriptions (dispensation of medications by pharmacies or other providers).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Manage Problem List',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should capture, display and report all active problems associated with a patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should capture, display and report a history of all problems associated with a patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture onset date of problem.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the chronicity (chronic, acute or self-limiting, etc.) of a problem.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture the source, date and time of all updates to the problem list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to deactivate a problem.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to re-activate a previously deactivated problem.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to display inactive possibly and possibly resolved problems.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to manually order or sort the problem list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'The solution should provide the ability to associate encounters, orders, medications, notes with one or more problems.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Manage Immunization List',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should capture, display and report all immunizations associated with a patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should record as discrete data elements data associated with any immunization given including date, type, lot number and manufacturer.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,cchcs_rfp
'The solution should prepare a report of a patient ‘s immunization history upon request for appropriate authorities such as Public Health organization.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,cchcs_rfp
'Manage Assessments',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to create assessments.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to use standardized assessments where they exist.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to document using standard assessments germane to the age, gender, developmental state, and health condition as appropriate to the EMR user’s scope of practice.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture data relevant to standard assessment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture additional data to augment the standard assessments relative to variances in medical conditions.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to link data from a standard assessment to a problem list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to link data from a standard assessment to an individual care plan.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to link data from external sources, laboratory results, and radiographic results to the standard assessment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to compare documented data against standardized curves and display trends.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.1.4 (Patient Access Management).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Care Plans, Treatment Plans, Guidelines, and Protocols',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Present Guidelines and Protocols for Planning Care',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to present current guidelines and protocols to clinicians who are creating plans for treatment and care.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to search for a guideline or protocol based on appropriate criteria (such as problem).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to present previously used guidelines and protocols for historical or legal purposes.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.1.8.6 (Manage Documentation of Clinician Response to Decision Support Prompts).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function DC.2.2.1.2 (Support for Context-Sensitive Care Plans, Guidelines, Protocols).',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Patient-Specific Care & Treatment Plans',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
